num_groups,area_avg,area_max,area_min,area_std,label
6,4180.416666666667,24253.5,0.0,8980.59571342879,No Impairment
8,3078.1875,23831.5,0.0,7847.838077846264,No Impairment
6,4028.9166666666665,22995.5,3.0,8484.962396384297,No Impairment
5,4901.3,24476.5,0.0,9787.60225795879,No Impairment
5,5124.4,25416.0,0.5,10145.94546309017,No Impairment
3,8129.666666666667,24378.0,4.5,11489.306711991903,No Impairment
7,3213.214285714286,22296.0,0.0,7790.742339731281,No Impairment
7,3187.214285714286,21481.5,0.0,7471.040417396183,No Impairment
3,8589.166666666666,25219.5,41.0,11760.960252273433,No Impairment
23,170.47826086956522,1206.5,0.0,290.5525275514578,No Impairment
6,3903.5833333333335,22929.5,0.0,8509.931058360906,No Impairment
4,6264.875,25058.0,0.0,10850.215783424539,No Impairment
5,4705.8,22864.5,0.0,9082.582048074215,No Impairment
5,4503.3,21950.0,0.0,8726.050765380638,No Impairment
4,6334.25,25267.5,7.0,10931.133304122679,No Impairment
15,1325.5666666666666,19845.0,0.0,4949.528148778988,No Impairment
5,4826.9,23157.0,0.0,9167.677930643069,No Impairment
4,5830.5,22619.0,1.0,9694.190625059939,No Impairment
6,3400.9166666666665,20367.0,0.0,7587.465301494885,No Impairment
9,1989.388888888889,17455.0,0.0,5468.556664025191,No Impairment
5,4597.7,22463.0,32.5,8933.396580248746,No Impairment
8,3016.3125,24065.0,0.0,7955.68395055345,No Impairment
3,8618.166666666666,25847.5,2.0,12182.978496884725,No Impairment
7,3270.4285714285716,22529.0,0.0,7862.931302858329,No Impairment
8,2598.8125,19817.0,0.5,6509.747897084322,No Impairment
3,7954.166666666667,23431.5,0.0,10945.541728129412,No Impairment
10,2368.85,23634.0,0.0,7088.388653459967,No Impairment
8,2728.9375,21789.0,0.0,7204.033980336555,No Impairment
4,6067.875,22751.5,0.0,9638.203109079774,No Impairment
3,6732.333333333333,20190.5,2.5,9516.360932041664,No Impairment
8,2996.5625,23382.5,0.0,7706.632425375155,No Impairment
3,8594.166666666666,25450.5,1.5,11919.984349355871,No Impairment
2,12018.25,23996.0,40.5,11977.75,No Impairment
8,2384.1875,18473.0,0.0,6082.417534056154,No Impairment
13,1901.6538461538462,22817.0,0.0,6048.21258524627,No Impairment
7,3150.0714285714284,20868.5,0.0,7236.483051813476,No Impairment
3,8644.333333333334,24992.0,0.0,11565.92767091723,No Impairment
4,5591.625,21194.0,14.0,9012.913148470643,No Impairment
11,2280.9545454545455,24942.0,0.0,7166.13526010469,No Impairment
5,4751.8,22737.5,0.0,8996.572028278326,No Impairment
6,2510.8333333333335,14703.0,0.0,5453.113229054471,No Impairment
